litter_id,litter_id_link,whelp_date,litter_registration,country_of_birth,sire_name,dam_name,breeders,birth_year
34727,Litter_Detail?LitterID=34727,"Dec 28, 2010",WS362422,USA,NEVERDONE'S RAISING CAINE,NEVERDONE'S DESERT ROSE,HOGAN,2010
59866,Litter_Detail?LitterID=59866,"Dec 28, 2010",,Netherlands,NEACAL OTHAR VAN 'T RIJKENSPARK,CITA V. GERKESHOF,,2010
50986,Litter_Detail?LitterID=50986,"Dec 28, 2010",,Netherlands,WOLF,DANAIDA DE HEICOPPER,STERK (),2010
36728,Litter_Detail?LitterID=36728,"Dec 27, 2010",1108415XY,Canada,BARON-GEORGE V.D. MIDDAGTENHOEVE,BIGCOUNTRY'S STELLAR PERFORMANCE,BROUWER (ON),2010
39891,Litter_Detail?LitterID=39891,"Dec 27, 2010",WS361381,USA,SWISS MR. FRANCES COLE,DALTON'S KARLEK HOLIDAY KISS,DEMPSEY,2010
21968,Litter_Detail?LitterID=21968,"Dec 27, 2010",WS374872,USA,VILLAIRNS CALLAWAY,BELLE FLEUR DE LA VALLEE DE L'ENCHANTEUR,GROVES & SHUPERT (OH),2010
22052,Litter_Detail?LitterID=22052,"Dec 27, 2010",WS360208,USA,GAMBLER VOM GIPFELFEUER,STONYBROOK'S SHE WORE BLUE VELVET,MAY (CA),2010
23632,Litter_Detail?LitterID=23632,"Dec 27, 2010",WS363677,USA,SIX ACRES' REACH FOR THE SKY,GENEVA LUCERNE,AKERS (MI),2010
22376,Litter_Detail?LitterID=22376,"Dec 26, 2010",WS366349,USA,LEGACY DO MONTAGNANA DI BERNA,TIMBERDGS ALMOND JOY V CARMA QUE,CALVELAGE (OH) & WALDMAN (OH),2010
22304,Litter_Detail?LitterID=22304,"Dec 26, 2010",WS360100,USA,TRILLIUM'S BLACK FOREST CAKE,SANTERA FLAME IN MY HEART AT TRILLIUM,FARLEY (NC),2010
25921,Litter_Detail?LitterID=25921,"Dec 26, 2010",,France,GAIO VON DER HAGROSE,CANNELLE DU LOGIS DE SAINTE MACRINE,BERGERON (),2010
25710,Litter_Detail?LitterID=25710,"Dec 26, 2010",,Sweden,MÖLLELYCKANS AMADEUS,TERTZO'S CALYPSO DANCER,EKDAHL,2010
38831,Litter_Detail?LitterID=38831,"Dec 26, 2010",,,NOT IN BERNER-GARDE DATABASE,NOT IN BERNER-GARDE DATABASE,UNKNOWN (),2010
47523,Litter_Detail?LitterID=47523,"Dec 26, 2010",,Netherlands,JAYSON VAN DE WEYENBERG,WOBKE V. SHAREL,HAMERSLAG,2010
48360,Litter_Detail?LitterID=48360,"Dec 26, 2010",,Netherlands,JOHN VON DER TREIBER,GUUSJE VAN DE BUUT VRIJ HOEVE,DE GROOT-VAN DONSELAAR,2010
55549,Litter_Detail?LitterID=55549,"Dec 26, 2010",,USA,NOT IN BERNER-GARDE DATABASE,HONEYBEAR SWEET & SASSY SOPHIE,UNKNOWN (),2010
61526,Litter_Detail?LitterID=61526,"Dec 26, 2010",,,NOT IN BERNER-GARDE DATABASE,NOT IN BERNER-GARDE DATABASE,,2010
55794,Litter_Detail?LitterID=55794,"Dec 25, 2010",,Netherlands,RENZO VD HOGE VELUWE,BALOU V.D. HOGE VELUWE,VAN OMME (),2010
36795,Litter_Detail?LitterID=36795,"Dec 25, 2010",PA931796XY,Canada,DUSOUSBOIS DADDY KOOLVMORGAN,ALPENSPIRIT ALL ABOUT ME,LEGARE (QC) & TURBIDE (QC) & TURCOTTE,2010
35404,Litter_Detail?LitterID=35404,"Dec 25, 2010",,Lithuania,MAGLOD-FALVI X-MAN,SHANET CESAR BRIZO,GARLAUSKIENE (),2010
35854,Litter_Detail?LitterID=35854,"Dec 25, 2010",WS363642,USA,SPIRITS PRINCE CHARMING,YODER'S L&L PRINCESS,UNKNOWN (),2010
